2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:15:29,710 [INFO]: 48300 iterations left,expected to finsh at Y-01-29 22:26:44 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:31,126 [INFO]: step 1800: gen_loss 1.407363, dis_loss 1.337582 (4228.3 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:31,127 [INFO]: 48200 iterations left,expected to finsh at Y-01-29 22:26:45 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:32,541 [INFO]: step 1900: gen_loss 0.828636, dis_loss 1.356657 (4263.0 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:32,541 [INFO]: 48100 iterations left,expected to finsh at Y-01-29 22:26:45 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:33,960 [INFO]: step 2000: gen_loss 1.509932, dis_loss 1.320569 (4139.8 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:33,961 [INFO]: 48000 iterations left,expected to finsh at Y-01-29 22:26:46 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:33,971 [DEBUG]: Saving checkpoint ...
2019-01-29 22:15:35,392 [INFO]: step 2100: gen_loss 0.616561, dis_loss 1.324922 (4423.4 examples/sec; 0.014 sec/batch)
2019-01-29 22:15:35,392 [INFO]: 47900 iterations left,expected to finsh at Y-01-29 22:26:47 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:36,829 [INFO]: step 2200: gen_loss 0.912495, dis_loss 1.131362 (4999.4 examples/sec; 0.013 sec/batch)
2019-01-29 22:15:36,829 [INFO]: 47800 iterations left,expected to finsh at Y-01-29 22:26:47 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:38,254 [INFO]: step 2300: gen_loss 0.811581, dis_loss 1.175120 (4224.9 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:38,254 [INFO]: 47700 iterations left,expected to finsh at Y-01-29 22:26:48 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:39,699 [INFO]: step 2400: gen_loss 1.543059, dis_loss 1.231967 (4163.0 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:39,700 [INFO]: 47600 iterations left,expected to finsh at Y-01-29 22:26:49 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:41,142 [INFO]: step 2500: gen_loss 0.737836, dis_loss 1.390215 (4202.6 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:41,143 [INFO]: 47500 iterations left,expected to finsh at Y-01-29 22:26:49 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:42,618 [INFO]: step 2600: gen_loss 0.719656, dis_loss 1.236760 (4364.5 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:42,618 [INFO]: 47400 iterations left,expected to finsh at Y-01-29 22:26:51 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:44,066 [INFO]: step 2700: gen_loss 1.760548, dis_loss 1.224236 (4094.0 examples/sec; 0.016 sec/batch)
2019-01-29 22:15:44,066 [INFO]: 47300 iterations left,expected to finsh at Y-01-29 22:26:51 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:45,530 [INFO]: step 2800: gen_loss 0.697621, dis_loss 1.150096 (4579.0 examples/sec; 0.014 sec/batch)
2019-01-29 22:15:45,530 [INFO]: 47200 iterations left,expected to finsh at Y-01-29 22:26:52 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:46,989 [INFO]: step 2900: gen_loss 1.287682, dis_loss 1.265225 (4126.2 examples/sec; 0.016 sec/batch)
2019-01-29 22:15:46,989 [INFO]: 47100 iterations left,expected to finsh at Y-01-29 22:26:53 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:48,465 [INFO]: step 3000: gen_loss 1.039176, dis_loss 1.178642 (4056.3 examples/sec; 0.016 sec/batch)
2019-01-29 22:15:48,465 [INFO]: 47000 iterations left,expected to finsh at Y-01-29 22:26:54 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:48,477 [DEBUG]: Saving checkpoint ...
2019-01-29 22:15:49,936 [INFO]: step 3100: gen_loss 1.469615, dis_loss 1.380071 (4520.3 examples/sec; 0.014 sec/batch)
2019-01-29 22:15:49,936 [INFO]: 46900 iterations left,expected to finsh at Y-01-29 22:26:55 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:51,426 [INFO]: step 3200: gen_loss 1.233238, dis_loss 1.162135 (4266.4 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:51,426 [INFO]: 46800 iterations left,expected to finsh at Y-01-29 22:26:56 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:52,913 [INFO]: step 3300: gen_loss 1.826519, dis_loss 1.114597 (3904.8 examples/sec; 0.016 sec/batch)
2019-01-29 22:15:52,913 [INFO]: 46700 iterations left,expected to finsh at Y-01-29 22:26:57 (avg speed: 0.014 sec/batch)
