2019-01-14 10:21:31,165 [INFO]: start action
2019-01-14 10:21:33,639 [INFO]: Restore weights from ./checkpoints/mlp/model.ckpt-10000
2019-01-14 10:21:35,213 [INFO]: Starting training from step 10001...
2019-01-14 10:26:15,806 [INFO]: start action
2019-01-14 10:26:17,725 [INFO]: This network is trained from scratch
2019-01-14 10:26:19,167 [INFO]: Starting training from step 0...
2019-01-14 10:57:01,665 [INFO]: step 460: gen_loss 0.761269, dis_loss 0.699009 (32.6 examples/sec; 3.922 sec/batch)
2019-01-14 10:57:01,666 [INFO]: 9540 iterations left,expected to finsh at Y-01-14 21:32:30 (avg speed: 3.997 sec/batch)
2019-01-14 10:57:41,182 [INFO]: step 470: gen_loss 0.762433, dis_loss 0.694045 (33.7 examples/sec; 3.803 sec/batch)
2019-01-14 10:57:41,182 [INFO]: 9530 iterations left,expected to finsh at Y-01-14 21:32:21 (avg speed: 3.996 sec/batch)
2019-01-14 10:58:22,190 [INFO]: step 480: gen_loss 0.762374, dis_loss 0.700340 (32.5 examples/sec; 3.938 sec/batch)
2019-01-14 10:58:22,190 [INFO]: 9520 iterations left,expected to finsh at Y-01-14 21:32:42 (avg speed: 3.998 sec/batch)
2019-01-14 10:59:03,006 [INFO]: step 490: gen_loss 0.756022, dis_loss 0.694821 (32.7 examples/sec; 3.919 sec/batch)
2019-01-14 10:59:03,006 [INFO]: 9510 iterations left,expected to finsh at Y-01-14 21:32:59 (avg speed: 4.000 sec/batch)
2019-01-14 10:59:42,383 [INFO]: step 500: gen_loss 0.760161, dis_loss 0.692370 (32.4 examples/sec; 3.947 sec/batch)
2019-01-14 10:59:42,383 [INFO]: 9500 iterations left,expected to finsh at Y-01-14 21:32:47 (avg speed: 3.998 sec/batch)
2019-01-14 11:00:21,842 [INFO]: step 510: gen_loss 0.756368, dis_loss 0.698449 (32.5 examples/sec; 3.941 sec/batch)
2019-01-14 11:00:21,842 [INFO]: 9490 iterations left,expected to finsh at Y-01-14 21:32:37 (avg speed: 3.997 sec/batch)
2019-01-14 11:01:01,438 [INFO]: step 520: gen_loss 0.756914, dis_loss 0.702888 (32.3 examples/sec; 3.967 sec/batch)
2019-01-14 11:01:01,439 [INFO]: 9480 iterations left,expected to finsh at Y-01-14 21:32:29 (avg speed: 3.997 sec/batch)
2019-01-14 11:01:40,668 [INFO]: step 530: gen_loss 0.755432, dis_loss 0.701439 (33.5 examples/sec; 3.824 sec/batch)
2019-01-14 11:01:40,668 [INFO]: 9470 iterations left,expected to finsh at Y-01-14 21:32:16 (avg speed: 3.995 sec/batch)
2019-01-14 11:02:19,209 [INFO]: step 540: gen_loss 0.756392, dis_loss 0.704584 (33.6 examples/sec; 3.806 sec/batch)
2019-01-14 11:02:19,210 [INFO]: 9460 iterations left,expected to finsh at Y-01-14 21:31:50 (avg speed: 3.993 sec/batch)
2019-01-14 11:02:57,997 [INFO]: step 550: gen_loss 0.755486, dis_loss 0.700870 (32.0 examples/sec; 4.005 sec/batch)
