2019-01-17 17:15:30,305 [INFO]: start action
2019-01-17 17:17:40,506 [INFO]: start action
2019-01-17 17:58:18,783 [INFO]: start action
2019-01-17 17:58:46,067 [INFO]: start action
2019-01-17 17:58:47,305 [INFO]: This network is trained from scratch
2019-01-17 17:58:48,134 [INFO]: Starting training from step 0...
2019-01-17 18:02:11,294 [INFO]: step 3300: gen_loss 0.742900, dis_loss 1.388988 (2112.1 examples/sec; 0.061 sec/batch)
2019-01-17 18:02:11,294 [INFO]: 96700 iterations left,expected to finsh at Y-01-17 19:41:22 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:17,586 [INFO]: step 3400: gen_loss 0.758826, dis_loss 1.391414 (2121.3 examples/sec; 0.060 sec/batch)
2019-01-17 18:02:17,586 [INFO]: 96600 iterations left,expected to finsh at Y-01-17 19:41:26 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:23,755 [INFO]: step 3500: gen_loss 1.508406, dis_loss 1.193840 (2082.9 examples/sec; 0.061 sec/batch)
2019-01-17 18:02:23,755 [INFO]: 96500 iterations left,expected to finsh at Y-01-17 19:41:27 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:29,883 [INFO]: step 3600: gen_loss 0.805680, dis_loss 1.104877 (2081.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:02:29,883 [INFO]: 96400 iterations left,expected to finsh at Y-01-17 19:41:26 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:36,175 [INFO]: step 3700: gen_loss 0.720647, dis_loss 1.262720 (1954.7 examples/sec; 0.065 sec/batch)
2019-01-17 18:02:36,175 [INFO]: 96300 iterations left,expected to finsh at Y-01-17 19:41:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:42,329 [INFO]: step 3800: gen_loss 0.851386, dis_loss 1.414695 (2099.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:02:42,329 [INFO]: 96200 iterations left,expected to finsh at Y-01-17 19:41:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:48,456 [INFO]: step 3900: gen_loss 0.849119, dis_loss 1.360622 (1962.2 examples/sec; 0.065 sec/batch)
2019-01-17 18:02:48,456 [INFO]: 96100 iterations left,expected to finsh at Y-01-17 19:41:28 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:54,883 [INFO]: step 4000: gen_loss 0.791802, dis_loss 1.366077 (2058.5 examples/sec; 0.062 sec/batch)
2019-01-17 18:02:54,883 [INFO]: 96000 iterations left,expected to finsh at Y-01-17 19:41:35 (avg speed: 0.062 sec/batch)
2019-01-17 18:02:55,190 [DEBUG]: Saving checkpoint ...
2019-01-17 18:03:01,762 [INFO]: step 4100: gen_loss 0.782079, dis_loss 1.386944 (2012.5 examples/sec; 0.064 sec/batch)
2019-01-17 18:03:01,762 [INFO]: 95900 iterations left,expected to finsh at Y-01-17 19:41:52 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:08,104 [INFO]: step 4200: gen_loss 0.657729, dis_loss 1.343386 (2133.8 examples/sec; 0.060 sec/batch)
2019-01-17 18:03:08,105 [INFO]: 95800 iterations left,expected to finsh at Y-01-17 19:41:56 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:14,466 [INFO]: step 4300: gen_loss 0.869735, dis_loss 1.412770 (2117.9 examples/sec; 0.060 sec/batch)
2019-01-17 18:03:14,467 [INFO]: 95700 iterations left,expected to finsh at Y-01-17 19:42:00 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:20,890 [INFO]: step 4400: gen_loss 0.879661, dis_loss 1.424905 (1948.2 examples/sec; 0.066 sec/batch)
2019-01-17 18:03:20,890 [INFO]: 95600 iterations left,expected to finsh at Y-01-17 19:42:05 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:27,262 [INFO]: step 4500: gen_loss 0.900126, dis_loss 1.188680 (2139.0 examples/sec; 0.060 sec/batch)
2019-01-17 18:03:27,263 [INFO]: 95500 iterations left,expected to finsh at Y-01-17 19:42:09 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:33,825 [INFO]: step 4600: gen_loss 1.150132, dis_loss 1.453959 (1878.9 examples/sec; 0.068 sec/batch)
2019-01-17 18:03:33,825 [INFO]: 95400 iterations left,expected to finsh at Y-01-17 19:42:17 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:40,055 [INFO]: step 4700: gen_loss 1.084698, dis_loss 1.476517 (1971.2 examples/sec; 0.065 sec/batch)
2019-01-17 18:03:40,055 [INFO]: 95300 iterations left,expected to finsh at Y-01-17 19:42:17 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:46,389 [INFO]: step 4800: gen_loss 1.085133, dis_loss 1.428513 (2104.3 examples/sec; 0.061 sec/batch)
2019-01-17 18:03:46,389 [INFO]: 95200 iterations left,expected to finsh at Y-01-17 19:42:20 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:52,785 [INFO]: step 4900: gen_loss 0.814088, dis_loss 1.379985 (2015.7 examples/sec; 0.064 sec/batch)
2019-01-17 18:03:52,785 [INFO]: 95100 iterations left,expected to finsh at Y-01-17 19:42:24 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:59,114 [INFO]: step 5000: gen_loss 0.795387, dis_loss 1.386562 (2080.1 examples/sec; 0.062 sec/batch)
2019-01-17 18:03:59,114 [INFO]: 95000 iterations left,expected to finsh at Y-01-17 19:42:26 (avg speed: 0.062 sec/batch)
2019-01-17 18:03:59,325 [DEBUG]: Saving checkpoint ...
2019-01-17 18:04:05,604 [INFO]: step 5100: gen_loss 0.855041, dis_loss 1.409372 (2049.9 examples/sec; 0.062 sec/batch)
2019-01-17 18:04:05,604 [INFO]: 94900 iterations left,expected to finsh at Y-01-17 19:42:31 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:11,720 [INFO]: step 5200: gen_loss 1.993737, dis_loss 1.765439 (2051.2 examples/sec; 0.062 sec/batch)
2019-01-17 18:04:11,720 [INFO]: 94800 iterations left,expected to finsh at Y-01-17 19:42:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:17,843 [INFO]: step 5300: gen_loss 0.942176, dis_loss 1.199403 (2096.7 examples/sec; 0.061 sec/batch)
2019-01-17 18:04:17,843 [INFO]: 94700 iterations left,expected to finsh at Y-01-17 19:42:27 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:23,972 [INFO]: step 5400: gen_loss 0.818397, dis_loss 1.310642 (2086.5 examples/sec; 0.061 sec/batch)
2019-01-17 18:04:23,972 [INFO]: 94600 iterations left,expected to finsh at Y-01-17 19:42:26 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:30,093 [INFO]: step 5500: gen_loss 1.245333, dis_loss 1.560090 (2119.3 examples/sec; 0.060 sec/batch)
2019-01-17 18:04:30,093 [INFO]: 94500 iterations left,expected to finsh at Y-01-17 19:42:24 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:36,212 [INFO]: step 5600: gen_loss 0.829816, dis_loss 1.383076 (2111.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:04:36,212 [INFO]: 94400 iterations left,expected to finsh at Y-01-17 19:42:22 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:42,326 [INFO]: step 5700: gen_loss 0.696171, dis_loss 1.367347 (2102.4 examples/sec; 0.061 sec/batch)
2019-01-17 18:04:42,327 [INFO]: 94300 iterations left,expected to finsh at Y-01-17 19:42:21 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:49,010 [INFO]: step 5800: gen_loss 0.972085, dis_loss 1.444033 (1762.0 examples/sec; 0.073 sec/batch)
2019-01-17 18:04:49,010 [INFO]: 94200 iterations left,expected to finsh at Y-01-17 19:42:29 (avg speed: 0.062 sec/batch)
2019-01-17 18:04:55,360 [INFO]: step 5900: gen_loss 1.757254, dis_loss 1.528361 (2027.5 examples/sec; 0.063 sec/batch)
2019-01-17 18:04:55,361 [INFO]: 94100 iterations left,expected to finsh at Y-01-17 19:42:31 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:01,713 [INFO]: step 6000: gen_loss 0.894150, dis_loss 1.401309 (2052.9 examples/sec; 0.062 sec/batch)
2019-01-17 18:05:01,713 [INFO]: 94000 iterations left,expected to finsh at Y-01-17 19:42:33 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:01,924 [DEBUG]: Saving checkpoint ...
2019-01-17 18:05:08,259 [INFO]: step 6100: gen_loss 0.745836, dis_loss 1.369829 (2083.3 examples/sec; 0.061 sec/batch)
2019-01-17 18:05:08,259 [INFO]: 93900 iterations left,expected to finsh at Y-01-17 19:42:38 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:14,571 [INFO]: step 6200: gen_loss 0.762304, dis_loss 1.384182 (1863.6 examples/sec; 0.069 sec/batch)
2019-01-17 18:05:14,571 [INFO]: 93800 iterations left,expected to finsh at Y-01-17 19:42:40 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:20,930 [INFO]: step 6300: gen_loss 0.734363, dis_loss 1.378264 (1885.9 examples/sec; 0.068 sec/batch)
2019-01-17 18:05:20,930 [INFO]: 93700 iterations left,expected to finsh at Y-01-17 19:42:42 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:27,287 [INFO]: step 6400: gen_loss 2.412125, dis_loss 2.266152 (2003.0 examples/sec; 0.064 sec/batch)
2019-01-17 18:05:27,287 [INFO]: 93600 iterations left,expected to finsh at Y-01-17 19:42:43 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:33,565 [INFO]: step 6500: gen_loss 1.110089, dis_loss 1.497754 (2104.6 examples/sec; 0.061 sec/batch)
2019-01-17 18:05:33,565 [INFO]: 93500 iterations left,expected to finsh at Y-01-17 19:42:44 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:39,682 [INFO]: step 6600: gen_loss 0.875959, dis_loss 1.377656 (2105.7 examples/sec; 0.061 sec/batch)
2019-01-17 18:05:39,682 [INFO]: 93400 iterations left,expected to finsh at Y-01-17 19:42:42 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:45,816 [INFO]: step 6700: gen_loss 0.538408, dis_loss 1.568570 (1990.0 examples/sec; 0.064 sec/batch)
2019-01-17 18:05:45,816 [INFO]: 93300 iterations left,expected to finsh at Y-01-17 19:42:41 (avg speed: 0.062 sec/batch)
2019-01-17 18:05:52,031 [INFO]: step 6800: gen_loss 0.744015, dis_loss 1.346246 (2129.1 examples/sec; 0.060 sec/batch)
2019-01-17 18:05:52,032 [INFO]: 93200 iterations left,expected to finsh at Y-01-17 19:42:41 (avg speed: 0.062 sec/batch)
